,short_name,age,club,overall,potential,wage_eur,player_positions,international_reputation,skill_moves,pace,shooting,passing,dribbling,defending,physic,log_wage,age2
3928,Vieiraldo Junior,25,Fluminense,71,71,22000,"CDM, LB",1,2,68.0,45.0,62.0,67.0,71.0,78.0,9.998797732340453,625
3929,Tiago Pombeira,29,Sport Club do Recife,71,71,13000,CAM,1,3,78.0,64.0,68.0,74.0,32.0,50.0,9.472704636443673,841
3930,Paulolettinho,33,Palmeiras,71,71,23000,"CAM, RM",1,3,81.0,59.0,70.0,73.0,30.0,61.0,10.043249494911286,1089
3931,Nascimentardo,29,Atlético Paranaense,71,71,12000,"CAM, CF",1,4,83.0,57.0,72.0,74.0,43.0,42.0,9.392661928770137,841
3932,Hugo Rubiães,33,Cruzeiro,71,71,18000,"CDM, RB",1,2,69.0,61.0,61.0,70.0,71.0,66.0,9.798127036878302,1089
3933,Vágner Corraldo,29,Santos,71,71,13000,LB,1,3,76.0,59.0,63.0,69.0,67.0,67.0,9.472704636443673,841
3934,Jony Reitosa,25,Atlético Clube Goianiense,71,71,9000,RB,1,3,78.0,42.0,54.0,59.0,69.0,81.0,9.104979856318357,625
3935,João Talocha,27,Boavista FC,71,71,6000,LB,1,2,72.0,38.0,56.0,66.0,70.0,72.0,8.699514748210191,729
3936,J. Grimm,30,RC Strasbourg Alsace,71,71,15000,CDM,1,2,58.0,57.0,58.0,60.0,70.0,67.0,9.615805480084347,900
3937,L. Mora,29,SPAL,71,71,11000,"CM, LM",1,2,64.0,64.0,72.0,68.0,59.0,65.0,9.305650551780507,841
3938,Alam Lindeiro,33,Atlético Mineiro,71,71,21000,LB,1,3,72.0,42.0,68.0,70.0,65.0,62.0,9.95227771670556,1089
3939,Enzo Merques,33,Botafogo,71,71,12000,LB,1,3,74.0,64.0,70.0,74.0,64.0,76.0,9.392661928770137,1089
3940,Marlion Simões,25,Palmeiras,71,71,20000,"LB, CM",1,3,86.0,56.0,59.0,71.0,64.0,70.0,9.903487552536127,625
3941,Martin Cordeia,33,Cruzeiro,71,71,20000,"CAM, CM",1,3,52.0,70.0,74.0,69.0,32.0,67.0,9.903487552536127,1089
3942,Marlion Rolim,25,Fluminense,71,71,24000,CAM,1,3,67.0,66.0,65.0,69.0,56.0,54.0,10.085809109330082,625
3943,Túlio Sandoiro,33,Botafogo,71,71,15000,ST,1,3,64.0,71.0,62.0,73.0,37.0,71.0,9.615805480084347,1089
3944,N. Barella,20,Cagliari,70,86,26000,CM,1,2,79.0,51.0,70.0,75.0,58.0,61.0,10.165851817003619,400
3945,Matheus Pereira,19,FC Girondins de Bordeaux,70,85,32000,CAM,1,5,72.0,59.0,65.0,76.0,37.0,55.0,10.373491181781864,361
3946,N. Nández,21,Boca Juniors,70,85,11000,"CDM, CM",1,2,70.0,49.0,64.0,61.0,67.0,63.0,9.305650551780507,441
3947,E. Mor,19,RC Celta,70,85,9000,"RM, ST",1,4,85.0,62.0,55.0,84.0,25.0,51.0,9.104979856318357,361
3948,Rui Pedro,19,Boavista FC,70,85,6000,ST,1,3,69.0,67.0,56.0,70.0,25.0,64.0,8.699514748210191,361
3949,F. Valverde,18,Deportivo de La Coruña,70,85,44000,"CM, CAM, RM",1,3,60.0,66.0,67.0,65.0,55.0,56.0,10.691944912900398,324
3950,M. Saracchi,19,River Plate,70,85,7000,"LB, LWB",1,3,72.0,69.0,69.0,68.0,69.0,68.0,8.85366542803745,361
3951,D. Solanke,19,Liverpool,70,84,38000,ST,1,3,75.0,67.0,62.0,73.0,25.0,62.0,10.545341438708522,361
3952,O. Burke,20,West Bromwich Albion,70,84,32000,"RM, ST",1,3,90.0,62.0,60.0,71.0,36.0,69.0,10.373491181781864,400
3953,J. Harrison,20,New York City FC,70,84,6000,RW,1,3,83.0,64.0,63.0,72.0,37.0,65.0,8.699514748210191,400
3954,A. Zuev,21,FC Rostov,70,83,29000,"LM, CF",1,2,81.0,61.0,64.0,72.0,42.0,50.0,10.275051108968611,441
3955,L. Martínez Quarta,21,River Plate,70,83,10000,CB,1,2,69.0,53.0,62.0,65.0,68.0,70.0,9.210340371976184,441
3956,L. Jović,19,Eintracht Frankfurt,70,83,6000,ST,1,3,76.0,68.0,59.0,72.0,27.0,63.0,8.699514748210191,361
3957,O. Ntcham,21,Celtic,70,82,27000,CM,1,2,73.0,56.0,61.0,71.0,59.0,75.0,10.203592144986466,441
3958,O. Kemen,20,GFC Ajaccio,70,82,29000,"CM, CDM",1,2,74.0,61.0,66.0,71.0,64.0,79.0,10.275051108968611,400
3959,C. Akolo,22,VfB Stuttgart,70,82,17000,"RW, LM, CAM, ST",1,4,82.0,67.0,59.0,76.0,27.0,63.0,9.740968623038354,484
3960,Concha,20,FC Barcelona B,70,82,15000,"RM, RW, CAM, LW",1,3,69.0,66.0,64.0,75.0,26.0,46.0,9.615805480084347,400
3961,J. Gomez,20,Liverpool,70,82,40000,"CB, RB, LB",1,2,77.0,30.0,53.0,65.0,69.0,72.0,10.596634733096073,400
3962,Aleix García,20,Girona FC,70,82,51000,"CM, CDM",1,3,66.0,61.0,70.0,72.0,58.0,53.0,10.839580911706463,400
3963,B. Chilwell,20,Leicester City,70,82,28000,LB,1,2,76.0,43.0,64.0,71.0,66.0,69.0,10.239959789157341,400
3964,C. Borthwick-Jackson,20,Leeds United,70,82,46000,LB,1,2,72.0,43.0,65.0,64.0,69.0,65.0,10.736396675471232,400
3965,N. Sarenren Bazee,20,Hannover 96,70,82,20000,RM,1,3,88.0,60.0,62.0,73.0,31.0,53.0,9.903487552536127,400
3966,J. Brekalo,19,VfB Stuttgart,70,82,21000,"LM, RM",1,3,80.0,62.0,63.0,76.0,22.0,50.0,9.95227771670556,361
3967,A. Diakhaby,20,AS Monaco,70,82,17000,"RM, ST",1,3,75.0,67.0,63.0,71.0,21.0,47.0,9.740968623038354,400
3968,F. Chalov,19,PFC CSKA Moscow,70,82,19000,ST,1,3,78.0,67.0,50.0,71.0,31.0,59.0,9.852194258148577,361
3969,I. Sangaré,19,Toulouse Football Club,70,82,10000,"CDM, CM",1,2,57.0,47.0,62.0,65.0,67.0,78.0,9.210340371976184,361
3970,S. Kalu,19,KAA Gent,70,82,9000,RM,1,3,82.0,58.0,64.0,73.0,25.0,48.0,9.104979856318357,361
3971,K. Manneh,22,Columbus Crew SC,70,81,6000,"LM, RM, CF, ST",1,4,94.0,66.0,60.0,73.0,38.0,54.0,8.699514748210191,484
3972,S. Gallagher,21,Birmingham City,70,81,41000,"ST, RW",1,2,77.0,69.0,54.0,66.0,48.0,73.0,10.621327345686446,441
3973,Jorginho,21,GD Chaves,70,81,20000,"RW, LW",1,3,78.0,65.0,61.0,73.0,23.0,61.0,9.903487552536127,441
3974,J. Fulton,23,Swansea City,70,81,32000,"CDM, CM",1,2,65.0,54.0,63.0,66.0,70.0,73.0,10.373491181781864,529
3975,A. Lusamba,20,OGC Nice,70,81,17000,"CAM, CM, LM",1,2,74.0,58.0,65.0,76.0,60.0,56.0,9.740968623038354,400
3976,L. Suárez,21,Villarreal CF,70,81,16000,"RM, LM",1,3,71.0,66.0,71.0,79.0,22.0,41.0,9.680344001221918,441
3977,C. Adams,20,Birmingham City,70,81,18000,"ST, LM, CAM",1,3,89.0,69.0,56.0,72.0,36.0,75.0,9.798127036878302,400
3978,F. Platte,21,SV Darmstadt 98,70,81,15000,ST,1,2,66.0,67.0,50.0,64.0,25.0,73.0,9.615805480084347,441
3979,Raphael Guzzo,22,CF Reus Deportiu,70,81,6000,"CM, LM, CAM, RM",1,3,65.0,64.0,67.0,73.0,51.0,62.0,8.699514748210191,484
3980,L. Rodríguez,20,Estudiantes de La Plata,70,81,10000,LM,1,2,77.0,63.0,64.0,72.0,52.0,58.0,9.210340371976184,400
3981,Melendo,19,RCD Espanyol,70,81,11000,"RM, LM",1,2,66.0,62.0,65.0,72.0,49.0,60.0,9.305650551780507,361
3982,N. Milenković,19,Fiorentina,70,81,18000,CB,1,2,49.0,26.0,41.0,32.0,70.0,83.0,9.798127036878302,361
3983,Victor Andrade,21,Estoril Praia,70,80,7000,"ST, RM",1,3,90.0,68.0,62.0,78.0,33.0,61.0,8.85366542803745,441
3984,E. Marcondes,22,FC Nordsjælland,70,80,10000,"CAM, LW, CM, ST",1,3,77.0,65.0,65.0,73.0,33.0,60.0,9.210340371976184,484
3985,L. Phiri,22,En Avant de Guingamp,70,80,13000,"CDM, CM",1,2,78.0,52.0,66.0,70.0,67.0,68.0,9.472704636443673,484
3986,V. Černý,19,Ajax,70,80,6000,"LW, RW",1,3,86.0,66.0,59.0,76.0,25.0,48.0,8.699514748210191,361
3987,J. Vergara,23,Milan,70,80,41000,CB,1,2,56.0,14.0,32.0,51.0,73.0,71.0,10.621327345686446,529
3988,F. Mattiello,21,SPAL,70,80,39000,"RB, LB",1,3,72.0,57.0,67.0,71.0,68.0,66.0,10.571316925111784,441
3989,L. Venuti,22,Benevento,70,80,29000,RB,1,2,78.0,26.0,51.0,63.0,65.0,61.0,10.275051108968611,484
3990,S. Bastien,20,Chievo Verona,70,80,10000,"CAM, CM",1,3,77.0,56.0,71.0,77.0,52.0,54.0,9.210340371976184,400
3991,F. Otero Tovar,22,Estudiantes de La Plata,70,80,12000,"ST, LM",1,3,86.0,71.0,59.0,67.0,26.0,63.0,9.392661928770137,484
3992,K. Laimer,20,RB Leipzig,70,80,28000,"CM, RM",1,3,76.0,61.0,65.0,68.0,65.0,70.0,10.239959789157341,400
3993,D. Verde,21,Hellas Verona,70,80,32000,"RW, ST, CF, RM",1,3,90.0,58.0,65.0,77.0,32.0,48.0,10.373491181781864,441
3994,A. Gnoukouri,20,Inter,70,80,29000,CM,1,2,65.0,52.0,68.0,68.0,66.0,67.0,10.275051108968611,400
3995,S. Rosales,22,Racing Club,70,80,12000,"LM, RM",1,4,83.0,61.0,65.0,74.0,22.0,58.0,9.392661928770137,484
3996,G. Tigiev,22,Spartak Moscow,70,80,29000,"LB, LWB, RB",1,2,84.0,48.0,63.0,68.0,68.0,66.0,10.275051108968611,484
3997,Fran Villalba,19,Valencia CF,70,80,11000,"CAM, CM",1,3,65.0,57.0,70.0,75.0,32.0,38.0,9.305650551780507,361
3998,Wesley,20,Club Brugge KV,70,80,14000,ST,1,3,71.0,69.0,51.0,61.0,23.0,78.0,9.546812608597396,400
3999,Y. Ideguchi,20,Gamba Osaka,70,80,7000,"CDM, CM",1,2,71.0,60.0,67.0,68.0,64.0,73.0,8.85366542803745,400
4000,D. Kamada,20,Eintracht Frankfurt,70,80,15000,CAM,1,3,81.0,58.0,66.0,73.0,38.0,63.0,9.615805480084347,400
4001,Zubeldia,20,Real Sociedad,70,80,15000,CM,1,2,48.0,58.0,68.0,64.0,61.0,66.0,9.615805480084347,400
4002,O. Edouard,19,Celtic,70,80,29000,ST,1,3,76.0,67.0,59.0,72.0,44.0,69.0,10.275051108968611,361
4003,Y. Bissouma,20,LOSC Lille,70,80,21000,CM,1,2,78.0,56.0,67.0,71.0,61.0,64.0,9.95227771670556,400
4004,J. Murphy,22,Newcastle United,70,79,36000,RM,1,3,82.0,68.0,66.0,71.0,33.0,55.0,10.491274217438248,484
4005,A. Webster,22,Ipswich Town,70,79,12000,CB,1,2,71.0,29.0,54.0,66.0,70.0,74.0,9.392661928770137,484
4006,L. Capezzi,22,Sampdoria,70,79,20000,CM,1,2,47.0,57.0,70.0,67.0,50.0,55.0,9.903487552536127,484
4007,L. Giannetti,23,Vélez Sarsfield,70,79,9000,CB,1,2,65.0,37.0,38.0,46.0,72.0,72.0,9.104979856318357,529
4008,B. Ndoye,23,FC Sion,70,79,11000,"CB, CM, CDM",1,2,63.0,61.0,59.0,58.0,67.0,81.0,9.305650551780507,529
4009,L. Orejuela,21,Ajax,70,79,6000,"RB, LB",1,2,81.0,45.0,62.0,66.0,65.0,73.0,8.699514748210191,441
4010,S. Kingsley,22,Hull City,70,79,7000,LB,1,2,70.0,37.0,65.0,69.0,69.0,67.0,8.85366542803745,484
4011,D. Nagy,22,Legia Warszawa,70,79,7000,"LM, CM",1,3,81.0,59.0,65.0,70.0,40.0,56.0,8.85366542803745,484
4012,D. Bouanga,22,FC Lorient,70,79,6000,"RW, LM",1,3,75.0,71.0,64.0,72.0,22.0,56.0,8.699514748210191,484
4013,R. Assalé,23,BSC Young Boys,70,79,15000,"ST, LW, LM",1,3,86.0,69.0,59.0,79.0,28.0,44.0,9.615805480084347,529
4014,Óscar Pinchi,21,Deportivo de La Coruña,70,79,14000,"LW, ST",1,3,68.0,70.0,65.0,74.0,39.0,49.0,9.546812608597396,441
4015,Rodrigo,21,Villarreal CF,70,79,16000,"CM, CDM",1,3,52.0,58.0,65.0,64.0,67.0,60.0,9.680344001221918,441
4016,Jon Bautista,21,Real Sociedad,70,79,16000,ST,1,3,62.0,75.0,54.0,67.0,23.0,48.0,9.680344001221918,441
4017,N. Leguizamón,22,Club Atlético Colón,70,79,9000,ST,1,2,72.0,68.0,45.0,67.0,27.0,74.0,9.104979856318357,484
4018,Rafa Navarro,23,Real Betis,70,79,13000,"RB, RWB, LB",1,2,79.0,44.0,60.0,67.0,68.0,50.0,9.472704636443673,529
4019,S. Lukić,20,Levante UD,70,79,19000,"CDM, CM",1,2,72.0,60.0,70.0,74.0,65.0,65.0,9.852194258148577,400
4020,E. Huws,23,Ipswich Town,70,78,13000,"CM, CDM",1,3,68.0,65.0,68.0,66.0,58.0,67.0,9.472704636443673,529
4021,K. Rodrigues,23,Real Sociedad,70,78,15000,"LB, LM",1,3,74.0,44.0,64.0,61.0,69.0,52.0,9.615805480084347,529
4022,N. Ninković,22,Empoli,70,78,18000,"CAM, LW, ST",1,3,69.0,63.0,66.0,71.0,26.0,53.0,9.798127036878302,484
4023,L. Garritano,23,Chievo Verona,70,78,12000,"LW, RW",1,3,86.0,67.0,57.0,77.0,22.0,57.0,9.392661928770137,529
4024,Z. Clough,22,Nottingham Forest,70,78,18000,"CAM, ST",1,3,77.0,66.0,66.0,73.0,36.0,50.0,9.798127036878302,484
4025,G. Kastaneer,21,1. FC Kaiserslautern,70,78,9000,"ST, LM",1,2,83.0,66.0,51.0,70.0,31.0,70.0,9.104979856318357,441
4026,M. Doumbia,22,FC Rostov,70,78,22000,"CF, RM, ST, LM",1,2,83.0,66.0,66.0,75.0,37.0,60.0,9.998797732340453,484
4027,P. Olayinka,21,SV Zulte-Waregem,70,78,13000,"ST, RM, LM",1,3,80.0,69.0,59.0,65.0,22.0,71.0,9.472704636443673,441
4028,O. Oularé,21,Royal Antwerp FC,70,78,30000,ST,1,3,73.0,65.0,57.0,63.0,27.0,73.0,10.308952660644293,441
4029,Fabián,21,Real Betis,70,78,11000,"CDM, CM, CAM",1,3,54.0,64.0,70.0,67.0,70.0,61.0,9.305650551780507,441
4030,H. ter Avest,20,FC Twente,70,78,6000,RB,1,2,74.0,41.0,58.0,68.0,67.0,71.0,8.699514748210191,400
4031,I. Mbenza,21,Montpellier HSC,70,78,14000,"RM, ST",1,3,80.0,66.0,66.0,71.0,28.0,63.0,9.546812608597396,441
4032,J. Rassoul,21,Sporting Lokeren,70,78,8000,"CB, CDM",1,2,74.0,42.0,52.0,69.0,66.0,76.0,8.987196820661973,441
4033,Allano,22,Estoril Praia,70,78,7000,RW,1,3,77.0,61.0,63.0,74.0,47.0,61.0,8.85366542803745,484
4034,Nando,23,Lorca FC,70,78,14000,"RM, LM, CAM",1,4,77.0,64.0,66.0,74.0,33.0,53.0,9.546812608597396,529
4035,Nacho Gil,21,Valencia CF,70,78,16000,"CAM, RM, LM, RW",1,3,71.0,61.0,68.0,73.0,24.0,46.0,9.680344001221918,441
4036,N. Ueda,22,Kashima Antlers,70,78,8000,CB,1,2,68.0,30.0,43.0,43.0,71.0,78.0,8.987196820661973,484
4037,D. Dumfries,21,SC Heerenveen,70,78,6000,RB,1,2,79.0,42.0,59.0,65.0,67.0,80.0,8.699514748210191,441
4038,Borja Lasso,23,Sevilla FC,70,78,10000,"CAM, LM, CM",1,3,55.0,68.0,69.0,72.0,40.0,68.0,9.210340371976184,529
4039,M. Bero,21,Trabzonspor,70,78,17000,"RM, CM, CAM",1,3,77.0,67.0,66.0,70.0,58.0,67.0,9.740968623038354,441
4040,S. Ganvoula,21,KV Mechelen,70,78,14000,ST,1,3,71.0,69.0,48.0,60.0,24.0,78.0,9.546812608597396,441
4041,R. Marin,21,Standard de Liège,70,78,9000,"CM, CAM, CDM",1,3,65.0,67.0,71.0,72.0,56.0,64.0,9.104979856318357,441
4042,Gabrielzinho,21,Rio Ave FC,70,78,7000,"RW, LW",1,4,88.0,61.0,57.0,75.0,29.0,44.0,8.85366542803745,441
4043,R. Yaremchuk,21,KAA Gent,70,78,13000,ST,1,2,65.0,69.0,52.0,63.0,30.0,66.0,9.472704636443673,441
4044,L. Garbutt,24,Everton,70,77,45000,"LB, LWB, LM",1,2,70.0,52.0,69.0,67.0,66.0,68.0,10.714417768752456,576
4045,C. Goldson,24,Brighton & Hove Albion,70,77,25000,CB,1,2,68.0,40.0,52.0,56.0,69.0,73.0,10.126631103850338,576
4046,J. Ralls,23,Cardiff City,70,77,18000,"CM, LM, CDM",1,3,67.0,64.0,70.0,69.0,60.0,66.0,9.798127036878302,529
4047,N. Murru,22,Sampdoria,70,77,18000,LB,1,2,78.0,36.0,53.0,63.0,70.0,71.0,9.798127036878302,484
4048,P. Bamford,23,Middlesbrough,70,77,13000,"ST, RM",1,3,74.0,68.0,59.0,69.0,34.0,63.0,9.472704636443673,529
4049,M. Stępiński,22,Chievo Verona,70,77,16000,ST,1,3,72.0,69.0,58.0,69.0,26.0,56.0,9.680344001221918,484
4050,A. Ngando,23,Göztepe SK,70,77,12000,CAM,1,4,70.0,70.0,69.0,73.0,36.0,38.0,9.392661928770137,529
4051,L. Magallán,23,Boca Juniors,70,77,13000,CB,1,2,58.0,38.0,48.0,59.0,69.0,74.0,9.472704636443673,529
4052,S. Rincón,23,Vitória Guimarães,70,77,7000,"RM, ST",1,4,82.0,69.0,60.0,69.0,27.0,73.0,8.85366542803745,529
4053,G. Morozov,23,Dinamo Moscow,70,77,18000,"RB, LB",1,2,75.0,55.0,60.0,69.0,70.0,65.0,9.798127036878302,529
4054,S. Slavchev,23,Lechia Gdańsk,70,77,9000,"CDM, CM",1,2,59.0,57.0,62.0,68.0,68.0,68.0,9.104979856318357,529
4055,B. Bourigeaud,23,Stade Rennais FC,70,77,14000,"CM, CDM",1,2,64.0,62.0,71.0,70.0,64.0,64.0,9.546812608597396,529
4056,F. Bahlouli,22,LOSC Lille,70,77,23000,CAM,1,4,73.0,61.0,66.0,75.0,47.0,65.0,10.043249494911286,484
4057,M. Ingvartsen,21,KRC Genk,70,77,10000,ST,1,2,71.0,69.0,55.0,67.0,28.0,64.0,9.210340371976184,441
4058,S. Coopman,22,SV Zulte-Waregem,70,77,14000,"CAM, CM, RM",1,2,58.0,60.0,68.0,72.0,26.0,45.0,9.546812608597396,484
4059,Alberto,24,CD Tenerife,70,77,6000,"CDM, CB",1,2,65.0,54.0,58.0,59.0,70.0,81.0,8.699514748210191,576
4060,B. Bolingoli,22,SK Rapid Wien,70,77,13000,"LWB, LB, LW",1,2,87.0,61.0,59.0,67.0,62.0,77.0,9.472704636443673,484
4061,Flávio,23,CD Feirense,70,77,6000,CB,1,2,49.0,29.0,37.0,44.0,71.0,81.0,8.699514748210191,529
4062,A. Bjelica,23,KV Oostende,70,77,9000,"LB, CB",1,2,67.0,52.0,69.0,67.0,69.0,76.0,9.104979856318357,529
4063,D. Cavaré,22,Barnsley,70,77,7000,RB,1,2,65.0,40.0,58.0,64.0,72.0,79.0,8.85366542803745,484
4064,F. Bellocq,23,Club Olimpo,70,77,12000,"CDM, CM",1,2,66.0,50.0,63.0,67.0,68.0,70.0,9.392661928770137,529
4065,M. Al Buraik,24,Al Hilal,70,77,20000,RB,1,2,83.0,57.0,67.0,65.0,64.0,65.0,9.903487552536127,576
4066,L. Di Plácido,23,Club Atlético Lanús,70,77,10000,"RB, RM",1,2,84.0,45.0,63.0,72.0,63.0,63.0,9.210340371976184,529
4067,M. Thorsby,21,SC Heerenveen,70,77,7000,CM,1,2,67.0,58.0,64.0,70.0,66.0,80.0,8.85366542803745,441
4068,Borja Iglesias,24,Real Zaragoza,70,77,15000,ST,1,3,59.0,72.0,56.0,64.0,24.0,73.0,9.615805480084347,576
4069,J. Rodríguez,21,Club Atlético Banfield,70,77,8000,CB,1,2,64.0,29.0,38.0,46.0,71.0,66.0,8.987196820661973,441
4070,Nuno Santos,22,Rio Ave FC,70,77,7000,"LW, RW",1,3,78.0,67.0,67.0,74.0,30.0,64.0,8.85366542803745,484
4071,João Vigário,21,Vitória Guimarães,70,77,6000,"LB, LM",1,3,74.0,63.0,62.0,73.0,66.0,69.0,8.699514748210191,441
4072,M. Degenek,23,Yokohama F. Marinos,70,77,6000,"CB, CDM",1,2,66.0,49.0,57.0,55.0,67.0,78.0,8.699514748210191,529
4073,Córdoba,20,Athletic Club de Bilbao,70,77,14000,LW,1,3,69.0,71.0,65.0,75.0,37.0,65.0,9.546812608597396,400
4074,Iván Alejo,22,SD Eibar,70,77,12000,"LM, RM, CAM, RWB",1,3,80.0,60.0,64.0,71.0,43.0,61.0,9.392661928770137,484
4075,A. Šporar,23,DSC Arminia Bielefeld,70,77,24000,"ST, RW, CF",1,2,77.0,67.0,66.0,73.0,19.0,62.0,10.085809109330082,529
4076,S. Nakatani,21,Kashiwa Reysol,70,77,7000,CB,1,2,74.0,24.0,39.0,45.0,70.0,72.0,8.85366542803745,441
4077,S. Kittel,24,FC Ingolstadt 04,70,76,14000,"LM, CAM, CF",1,3,71.0,60.0,69.0,74.0,27.0,50.0,9.546812608597396,576
4078,M. Żyro,24,Wolverhampton Wanderers,70,76,29000,"RM, LM, ST",1,3,75.0,69.0,63.0,73.0,41.0,65.0,10.275051108968611,576
4079,J. Flanagan,24,Liverpool,70,76,45000,"RB, LB",1,2,65.0,39.0,59.0,69.0,72.0,72.0,10.714417768752456,576
4080,G. Chanturia,24,FC Ural Yekaterinburg,70,76,20000,RM,1,5,77.0,64.0,61.0,80.0,24.0,69.0,9.903487552536127,576
4081,T. Blackett,23,Reading,70,76,19000,"CB, LB",1,3,71.0,40.0,65.0,63.0,68.0,75.0,9.852194258148577,529
4082,Fede Vico,22,CD Lugo,70,76,6000,"LM, RM",1,3,78.0,60.0,69.0,74.0,52.0,52.0,8.699514748210191,484
4083,S. Khelifi,23,Eintracht Braunschweig,70,76,15000,"LM, RW, RM",1,4,82.0,61.0,63.0,77.0,26.0,47.0,9.615805480084347,529
4084,T. Kane,23,FC Groningen,70,76,7000,RB,1,2,76.0,45.0,55.0,66.0,67.0,66.0,8.85366542803745,529
4085,Guillermo,24,CD Numancia,70,76,7000,"ST, RM",1,2,74.0,64.0,60.0,73.0,28.0,69.0,8.85366542803745,576
4086,L. Krajnc,22,Frosinone,70,76,26000,CB,1,2,65.0,33.0,53.0,60.0,70.0,73.0,10.165851817003619,484
4087,R. Emelyanov,25,FC Ural Yekaterinburg,70,76,20000,"CDM, CM",1,2,62.0,55.0,66.0,62.0,67.0,74.0,9.903487552536127,625
4088,M. Sampirisi,24,Crotone,70,76,8000,"RB, CB",1,2,69.0,37.0,60.0,60.0,71.0,72.0,8.987196820661973,576
4089,João Teixeira,24,SC Braga,70,76,8000,"CAM, LM, CM",1,3,68.0,59.0,66.0,73.0,33.0,60.0,8.987196820661973,576
4090,F. Boulaya,24,Girona FC,70,76,14000,"CAM, CM",1,3,79.0,65.0,66.0,75.0,36.0,51.0,9.546812608597396,576
4091,Pablo Valcarce,24,CD Numancia,70,76,7000,"RM, LM, CAM",1,3,75.0,66.0,63.0,72.0,52.0,62.0,8.85366542803745,576
4092,Kwon Chang Hoon,23,Dijon FCO,70,76,12000,"CM, RM",1,3,66.0,68.0,70.0,70.0,56.0,70.0,9.392661928770137,529
4093,C. Fiore,22,Standard de Liège,70,76,9000,"LB, CB",1,2,67.0,35.0,65.0,58.0,69.0,71.0,9.104979856318357,484
4094,A. Rocha,24,Monarcas Morelia,70,76,8000,"CM, CDM",1,2,71.0,55.0,65.0,69.0,65.0,64.0,8.987196820661973,576
4095,Gerard,22,CD Leganés,70,76,14000,"CM, CDM, CB",1,3,35.0,57.0,69.0,62.0,66.0,65.0,9.546812608597396,484
4096,G. Ortíz,24,Club Atlético Colón,70,76,7000,CB,1,2,70.0,31.0,46.0,44.0,69.0,73.0,8.85366542803745,576
4097,L. Melano,24,Estudiantes de La Plata,70,76,6000,"RW, LW, RM",1,3,90.0,66.0,63.0,67.0,30.0,73.0,8.699514748210191,576
4098,F. Friday,22,AZ Alkmaar,70,76,8000,ST,1,3,80.0,67.0,48.0,69.0,21.0,74.0,8.987196820661973,484
4099,T. Pellenard,23,FC Girondins de Bordeaux,70,76,21000,LB,1,2,67.0,36.0,61.0,67.0,70.0,69.0,9.95227771670556,529
4100,C. Dessers,22,FC Utrecht,70,76,9000,ST,1,2,74.0,71.0,54.0,66.0,20.0,71.0,9.104979856318357,484
4101,Pablo Pérez,23,Real Sporting de Gijón,70,76,8000,"CAM, RM, LM",1,2,59.0,65.0,69.0,69.0,53.0,69.0,8.987196820661973,529
4102,L. Diarte,24,Estudiantes de La Plata,70,76,10000,LB,1,2,64.0,30.0,47.0,61.0,71.0,67.0,9.210340371976184,576
4103,P. Schobesberger,23,SK Rapid Wien,70,76,16000,"RW, RM, CF",1,3,91.0,63.0,60.0,74.0,37.0,61.0,9.680344001221918,529
4104,Y. Barbet,24,Brentford,70,76,23000,"CB, LB",1,2,71.0,48.0,67.0,60.0,69.0,73.0,10.043249494911286,576
4105,G. Kerk,21,FC Utrecht,70,76,8000,"ST, RW",1,3,88.0,68.0,60.0,71.0,27.0,68.0,8.987196820661973,441
4106,Omar Perdomo,23,Gimnàstic de Tarragona,70,76,8000,"RW, LW, RM",1,3,83.0,69.0,64.0,72.0,38.0,64.0,8.987196820661973,529
4107,A. Toşca,25,Real Betis,70,76,14000,"CB, LB",1,2,73.0,45.0,60.0,58.0,70.0,67.0,9.546812608597396,625
4108,Bruno Viana,22,SC Braga,70,76,7000,CB,1,2,61.0,42.0,49.0,52.0,71.0,69.0,8.85366542803745,484
4109,G. Kvilitaia,23,SK Rapid Wien,70,76,16000,ST,1,3,81.0,66.0,55.0,71.0,37.0,71.0,9.680344001221918,529
4110,V. Kostevych,24,Lech Poznań,70,76,6000,LB,1,2,84.0,55.0,63.0,66.0,64.0,69.0,8.699514748210191,576
4111,Nacho Vidal,22,Valencia CF,70,76,16000,"RB, RM, LB",1,2,74.0,43.0,64.0,64.0,65.0,67.0,9.680344001221918,484
4112,M. Abu,25,Columbus Crew SC,70,75,6000,"CDM, CM",1,3,73.0,55.0,65.0,68.0,63.0,71.0,8.699514748210191,625
4113,M. Haïdara,24,Newcastle United,70,75,32000,LB,1,2,73.0,51.0,62.0,69.0,69.0,74.0,10.373491181781864,576
4114,Saborit,25,Athletic Club de Bilbao,70,75,14000,"LB, CB",1,2,71.0,47.0,63.0,66.0,70.0,75.0,9.546812608597396,625
4115,L. Landre,25,Genoa,70,75,18000,CB,1,2,61.0,34.0,50.0,54.0,71.0,68.0,9.798127036878302,625
4116,P. Kitchen,25,Randers FC,70,75,9000,"CDM, CM",1,2,63.0,58.0,60.0,61.0,70.0,78.0,9.104979856318357,625
4117,Álvaro Lemos,24,Racing Club de Lens,70,75,13000,"RB, RM",1,3,78.0,58.0,65.0,71.0,65.0,65.0,9.472704636443673,576
4118,B. Darri,22,Heracles Almelo,70,75,8000,LW,1,4,80.0,62.0,57.0,79.0,26.0,51.0,8.987196820661973,484
